Path;FileName
E:\eagle\BCA2740BU.mp4;"BCA2740BU - SAP HANA on vSphere, vSAN, VMware Cloud Roadmap and Certification Strategy.mp4"
E:\eagle\BCA2780BU.mp4;"BCA2780BU - Running with Zero Downtime, Zero Data Loss vSphere Fault Tolerance.mp4"
E:\eagle\BCA2800BU.mp4;"BCA2800BU - Automating Cloud Solutions for SAP.mp4"
E:\eagle\BCA2861BU.mp4;"BCA2861BU - Supporting SQL Server Failover Cluster Instances Without Those Pesky RDMs.mp4"
E:\eagle\BCA3199BU.mp4;"BCA3199BU - Scottish Government Virtualizes Critical Legacy Apps in VMware Cloud on AWS.mp4"
E:\eagle\CNET1028BU.mp4;"CNET1028BU - Demystifying the NSX-T Control and Data Plane.mp4"
E:\eagle\CNET1033BU.mp4;"CNET1033BU - Introduction to NSX Service Mesh.mp4"
E:\eagle\CNET1069BU.mp4;"CNET1069BU - NSX-T Deep Dive Layer 3 Routing.mp4"
E:\eagle\CNET1072BU.mp4;"CNET1072BU - NSX-T Design for Small to Mid-Sized Data Centers.mp4"
E:\eagle\CNET1100BU.mp4;"CNET1100BU - NSX-T for Service Providers Functionality, Technology, Use Cases.mp4"
E:\eagle\CNET1219BU.mp4;"CNET1219BU - VMware Cloud on AWS NSX-T Networking and Security Deep Dive.mp4"
E:\eagle\CNET1243BU.mp4;"CNET1243BU - NSX-T Deep Dive Performance.mp4"
E:\eagle\CNET1244BU.mp4;"CNET1244BU - NSX-T Design for Pivotal Application Service (PAS).mp4"
E:\eagle\CNET1251BU.mp4;"CNET1251BU - NSX-T Install, Upgrade and Day 2 Operations.mp4"
E:\eagle\CNET1270BU.mp4;"CNET1270BU - NSX-T Deep Dive Kubernetes Networking.mp4"
E:\eagle\CNET1296BU.mp4;"CNET1296BU - The Future of Networking with NSX.mp4"
E:\eagle\CNET1334BU.mp4;"CNET1334BU - NSX-T Design for Multi-Site Networking and Disaster Recovery.mp4"
E:\eagle\CNET1356BU.mp4;"CNET1356BU - NSX-T Deep Dive Load Balancing.mp4"
E:\eagle\CNET1365BU.mp4;"CNET1365BU - NSX Cloud Deployment and Architecture Deep Dive.mp4"
E:\eagle\CNET1444BU.mp4;"CNET1444BU - Lessons Learned Deploying OpenShift with VMware SDDC.mp4"
E:\eagle\CNET1474BU.mp4;"CNET1474BU - NSX and Cisco ACI Running Your SDDC on a Cisco Underlay.mp4"
E:\eagle\CNET1498BU.mp4;"CNET1498BU - Transitioning from NSX for vSphere to NSX-T.mp4"
E:\eagle\CNET1511BU.mp4;"CNET1511BU - NSX-T Deep Dive Logical Switching.mp4"
E:\eagle\CNET1575BU.mp4;"CNET1575BU - Introduction to VMware NSX.mp4"
E:\eagle\CNET1579BU.mp4;"CNET1579BU - Digital Transformation with NSX SDDC Quantifying ROI with Data.mp4"
E:\eagle\CNET1582BU.mp4;"CNET1582BU - Extend Your Network and Security to AWS, Azure, and IBM Cloud.mp4"
E:\eagle\CNET1600BU.mp4;"CNET1600BU - NSX Cloud Consistently Extend NSX to AWS and Azure.mp4"
E:\eagle\CNET1692BU.mp4;"CNET1692BU - What's New with vRealize Network Insight (vRNI).mp4"
E:\eagle\CNET1908BU.mp4;"CNET1908BU - NSX-T Design for VMware Validated Designs and VMware Cloud Foundation.mp4"
E:\eagle\CNET1909BU.mp4;"CNET1909BU - NSX-T Deep Dive Policy API.mp4"
E:\eagle\CNET1960BU.mp4;"CNET1960BU - Network Insight Optimize and troubleshoot apps across NSX DC and SD-WAN.mp4"
E:\eagle\CNET2061BU.mp4;"CNET2061BU - Next-Generation Reference Design with NSX-T Part 1.mp4"
